emotion,strength,betweenness,closeness,eigenvector,community
sadness,1.7145087645109836,0.042735042735042736,4.61706092812098,0.4260183392503749,3
nervousness,1.6357558197870907,0.14814814814814817,6.034122629387622,0.3926136512024161,0
joy,1.4061536893861426,0.022792022792022793,4.922702077329457,0.11783055051702333,1
relief,1.3415584428809233,0.2136752136752137,6.22419505487309,0.1703586206089297,1
disgust,1.272652041235964,0.03703703703703704,4.624924003746612,0.2106213666322376,2
embarrassment,1.2355150131421335,0.09971509971509972,5.295188605330379,0.20262732854110704,2
confusion,1.2295924809785639,0.11965811965811966,6.087802618016136,0.18381275893903815,5
anger,1.1351996352493605,0.03133903133903134,5.288995672568934,0.19563930364904725,2
disappointment,1.1323221155308731,0.014245014245014245,4.9131145914886005,0.2990841577241655,3
grief,1.0583943628649974,0.23361823361823364,6.030122083160229,0.29233551010541736,3
annoyance,1.0377277527122255,0.06837606837606838,5.262898315799754,0.18800228076429076,2
fear,0.9922292259089115,0.045584045584045586,4.87076570581491,0.3402648052318905,0
curiosity,0.9680263034817201,0.0,4.151226169764639,0.16139797716859047,5
desire,0.8056972685446219,0.02849002849002849,4.6176299482590135,0.07083278247175297,5
remorse,0.7034950360970309,0.0,3.8828408304867312,0.1992772450856539,3
optimism,0.6783992579919631,0.017094017094017096,4.902990651023317,0.06539915951583267,5
caring,0.6362590321874511,0.10541310541310542,5.919311478814236,0.10437383881288137,5
admiration,0.6089638943882791,0.04843304843304844,4.35641317159193,0.09893353925135712,1
pride,0.5846100761638804,0.0,4.753788919071882,0.09752480065726152,1
excitement,0.5453819786568579,0.019943019943019943,4.151517666551581,0.07075270712940154,1
disapproval,0.4944249563660159,0.0,3.385785303025965,0.10966525470283155,2
surprise,0.4286358565189632,0.08262108262108263,5.379199345965534,0.04784430241420295,5
realization,0.3723206246701442,0.0,4.591924939848595,0.07805072931386496,2
love,0.3680616657858239,0.005698005698005698,3.593086828850889,0.03367732627073716,1
amusement,0.2915954445241608,0.0,4.344145048911199,0.041765608152908626,1
approval,0.2013080797682773,0.09116809116809117,5.588003868061632,0.061707992094221925,3
gratitude,0.15591114919459878,0.0,3.1611171782639462,0.024323932035747148,1
neutral,0.0,0.0,0.0,2.3904199590172145e-18,4
