,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
admiration,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.017601414441220483,-0.0,0.0,-0.0,-0.0,-0.0,-0.07374408913348358,0.030646429057985237,0.0,0.047281272015822065,0.0,0.16130808800711097,0.07859697539904695,-0.14448671445233813,0.0,0.15082802739629944,-0.0,0.0,-0.0,-0.0,0.0,-0.0
amusement,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.04917668336406939,0.0,0.0,0.0,-0.06445611940597844,0.22713932511818238,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.013507127818759292,-0.0
anger,-0.0,-0.0,0.0,0.44449764399281594,-0.0,-0.0,-0.044287207066669464,-0.0,0.0,0.0,3.604969260384401e-05,0.41473584325993645,-0.0,-0.0,-0.0,-0.0,0.07361237492552462,-0.0,-0.0,-0.038116882327038706,-0.0,0.0,-0.14386254174370772,-0.05849123132737569,-0.0,0.0,-0.0,-0.0
annoyance,-0.0,0.0,0.44449764399281594,0.0,-0.0,-0.0067563661813104525,0.0,-0.0,-0.0,0.1376058887982269,0.15756950819426846,0.16926181374916685,0.07141647205189729,-0.019791611310013824,-0.026241836827037443,-0.03127057557225644,-0.044461886339883315,-0.007337264354795045,-0.0,-0.0,-0.0,-0.0,0.0,-0.05737642592584997,-0.0,-0.0,-0.0,-0.0
approval,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.04149961258778373,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.014972954043104928,-0.0,-0.006905057578192085,0.0,0.0,-0.05201908085855236,0.0,0.0,0.0,0.06508131136206627,-0.0,-0.08420768754765866,-0.0,0.0
caring,0.0,-0.0,-0.0,-0.0067563661813104525,0.0,0.0,-0.0004231175081539542,-0.0,0.0,-0.0,-0.0,-0.10036211739940226,-0.0,-0.0,0.0,0.0,0.06707411722162505,0.0,0.0,0.0726204940460819,0.1463375837056838,0.0,-0.0,0.1892861194547563,0.0,0.010196674795592804,-0.060578600359901806,-0.0
confusion,-0.017601414441220483,-0.0,-0.044287207066669464,0.0,-0.0,-0.0004231175081539542,0.0,0.5868534442460817,-0.10216713979148913,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.06949794354119106,-0.05017587661812575,-0.0009702488200921637,0.09582177711835946,-0.011948652536047114,-0.14547047853674647,0.0,-0.09904535935865504,-0.0,-0.0,0.08056046176791513,0.0
curiosity,-0.0,-0.0,-0.0,-0.0,-0.04149961258778373,-0.0,0.5868534442460817,0.0,-0.0,-0.13971338697906777,-0.0,-0.0252653140280221,-0.02814799105115623,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.029444540052553016,-0.0,-0.0,-0.0,-0.12269622786069746,-0.022224339435645852,-0.0,0.11876324439587323,0.0
desire,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.10216713979148913,-0.0,0.0,0.0,-0.0,-0.0,-0.12744945561994628,0.0,-0.0,0.0,0.0258625780348294,0.0,0.10871776454125806,-0.0,0.38281657633734184,0.0,-0.0,0.0,0.0,0.03050857935134414,-0.08454633225458665,-0.0
disappointment,-0.0,-0.0,0.0,0.1376058887982269,-0.0,-0.0,-0.0,-0.13971338697906777,0.0,0.0,0.21681047103489334,0.0,0.06681502764853968,-0.0,-0.0387997179824104,-0.044274490286192784,-0.0,-0.0,-0.0,0.07649234957243413,-0.0,0.0,0.0,-0.0,0.0,0.49488499149771137,-0.0,-0.0
