emotion1,emotion2,stability,mean_weight,ci_lower,ci_upper
admiration,embarrassment,1.0,-0.07374408913348358,-0.07828367182025416,-0.06880833416393523
admiration,joy,1.0,0.16130808800711097,0.15344163785501377,0.16913170498530014
admiration,love,1.0,0.07859697539904695,0.0632500582254076,0.0925945959365968
admiration,nervousness,1.0,-0.14448671445233813,-0.1477346288056653,-0.14107989146213237
admiration,pride,1.0,0.15082802739629944,0.12968586308243646,0.17280811155061265
amusement,grief,1.0,-0.06445611940597844,-0.0695616297626636,-0.05949748792158345
amusement,joy,1.0,0.22713932511818238,0.21744591876068825,0.23582267892689113
anger,annoyance,1.0,0.44449764399281594,0.4378703225337712,0.45055028510182377
anger,disgust,1.0,0.41473584325993645,0.4080018625228277,0.42083565213800017
anger,grief,1.0,0.07361237492552462,0.06864624054106347,0.07794723491895406
anger,realization,1.0,-0.14386254174370772,-0.14908460147252994,-0.13759938029681174
anger,relief,1.0,-0.05849123132737569,-0.061821076439994335,-0.05436060872004046
annoyance,disappointment,1.0,0.1376058887982269,0.1335477203388288,0.14187374050197174
annoyance,disapproval,1.0,0.15756950819426846,0.15110235110484407,0.16290498699282172
annoyance,disgust,1.0,0.16926181374916685,0.16421052836540614,0.17500817196284124
annoyance,embarrassment,1.0,0.07141647205189729,0.06571171601651386,0.07718155323098397
annoyance,relief,1.0,-0.05737642592584997,-0.06159848170198463,-0.05314948655499676
approval,sadness,1.0,-0.08420768754765866,-0.0888151631300228,-0.07953912670354309
caring,disgust,1.0,-0.10036211739940226,-0.1057099141630155,-0.09600517916393463
caring,grief,1.0,0.06707411722162505,0.06012886004125601,0.07377017688865246
caring,nervousness,1.0,0.0726204940460819,0.0679835225809694,0.07800339931717222
curiosity,relief,1.0,-0.12269622786069746,-0.1266798232436865,-0.11853938368635812
caring,optimism,1.0,0.1463375837056838,0.13661175413495402,0.15500677059370638
caring,relief,1.0,0.1892861194547563,0.18107430442180306,0.19659532509764915
confusion,curiosity,1.0,0.5868534442460817,0.5821753461122091,0.5920921892650598
confusion,grief,1.0,-0.06949794354119106,-0.07309978028009805,-0.06500053113572109
confusion,desire,1.0,-0.10216713979148913,-0.1070015983277452,-0.09721319262269795
confusion,nervousness,1.0,0.09582177711835946,0.09209465954818691,0.09974490005157109
confusion,pride,1.0,-0.14547047853674647,-0.149115457693237,-0.1416621539905857
desire,embarrassment,1.0,-0.12744945561994628,-0.1322059118556723,-0.12232134103714877
confusion,relief,1.0,-0.09904535935865504,-0.10330795893909005,-0.09469306762358916
confusion,surprise,1.0,0.08056046176791513,0.07175501289120458,0.08885488210967463
curiosity,disappointment,1.0,-0.13971338697906777,-0.14391166771675676,-0.135619847222661
desire,love,1.0,0.10871776454125806,0.09809568076517844,0.11886411753063117
curiosity,surprise,1.0,0.11876324439587323,0.1090089550622591,0.12873854884407204
desire,surprise,1.0,-0.08454633225458665,-0.0907906897684984,-0.07838351683847514
desire,optimism,1.0,0.38281657633734184,0.37501992724751565,0.3903569318662666
fear,grief,1.0,0.06809104845741813,0.06311259305730615,0.0732084623710957
fear,nervousness,1.0,0.7536088681528225,0.7505958315098642,0.7563171253902778
disappointment,disapproval,1.0,0.21681047103489334,0.21184088627676373,0.2214742656626407
disappointment,embarrassment,1.0,0.06681502764853968,0.06225524266181184,0.07116203995178572
disappointment,nervousness,1.0,0.07649234957243413,0.0710374992506377,0.08187511410115884
disappointment,sadness,1.0,0.49488499149771137,0.49096623579266474,0.49884691447168095
disapproval,disgust,1.0,0.12004497713685412,0.11406000916346931,0.1245366574205185
disgust,embarrassment,1.0,0.30058582627529756,0.29402515213190694,0.30711931012178173
disgust,fear,1.0,0.07829279957048621,0.0742215538012586,0.08224649077081372
disgust,optimism,1.0,-0.08936866384482059,-0.09288570458535317,-0.08406995800323452
embarrassment,grief,1.0,-0.11133047651702872,-0.11674643313848829,-0.10588331459752925
embarrassment,realization,1.0,0.17165164663363106,0.16493147825212132,0.17836317166965454
embarrassment,remorse,1.0,0.3125220192623093,0.3053155568369811,0.3195705231329215
excitement,joy,1.0,0.39990453735706255,0.3904024379411124,0.4088391483003257
excitement,sadness,1.0,-0.0612902235591089,-0.06451984107790017,-0.05831433504590345
excitement,surprise,1.0,0.08418721774068638,0.07159369987776372,0.09645653607715496
joy,relief,1.0,0.30049898566885697,0.2925204327500399,0.3089434715792937
nervousness,pride,1.0,-0.09113109750890416,-0.09488293295726885,-0.08734318827809798
fear,sadness,1.0,-0.09223650972818463,-0.09721987508673235,-0.08663740599198522
gratitude,relief,1.0,0.15591114919459878,0.14687188178670213,0.1646051952799636
grief,remorse,1.0,0.09184513628206047,0.08278854889833437,0.10022499568575417
grief,sadness,1.0,0.5124871465141709,0.5069058344621961,0.5176146814888787
joy,love,1.0,0.18074692584551888,0.1715900695121181,0.1889430356721461
joy,pride,1.0,0.08637995077128535,0.07702470648950999,0.09486690646739597
nervousness,sadness,1.0,0.17027432511148793,0.16599627271808684,0.1745040869931375
pride,relief,1.0,0.11080052195064495,0.09958375091188398,0.12147067280616287
nervousness,realization,1.0,0.05680643629280541,0.052100709947454686,0.06135350756364458
nervousness,relief,1.0,0.12249467667330484,0.11895750074350761,0.12568218556452507
remorse,sadness,1.0,0.29912788055266115,0.29359175260386144,0.30475160614211144
approval,relief,0.999,0.06508131136206627,0.05547094462431254,0.07387490424745459
optimism,relief,0.994,0.059876434104116874,0.052428532972107575,0.0663438656329345
caring,surprise,0.982,-0.060578600359901806,-0.06854361967962648,-0.05092855048616731
