topic,n_posts,n_edges,density,avg_clustering
0,15981,65,0.17195767195767195,0.2592687074829932
1,2559,65,0.17195767195767195,0.24356833642547926
2,2133,67,0.17724867724867724,0.2034013605442177
3,1461,60,0.15873015873015872,0.2690192743764172
4,1452,64,0.1693121693121693,0.1476190476190476
13,1099,67,0.17724867724867724,0.2887858173572459
5,818,59,0.15608465608465608,0.1951324469181612
9,815,80,0.21164021164021163,0.23284116676973818
6,674,61,0.16137566137566137,0.22131519274376418
7,647,62,0.164021164021164,0.23392857142857143
14,602,66,0.1746031746031746,0.23784013605442178
16,569,65,0.17195767195767195,0.25521541950113374
17,453,68,0.17989417989417988,0.25884353741496596
18,429,63,0.16666666666666666,0.23721655328798183
11,426,52,0.13756613756613756,0.16488095238095238
10,413,65,0.17195767195767195,0.1913265306122449
15,407,65,0.17195767195767195,0.2673185941043084
8,353,74,0.19576719576719576,0.2625876108018965
12,248,63,0.16666666666666666,0.203202947845805
