topic_id,count,llama_label,keywords
0,9526,Navigating Mental Health Across Cultural Boundaries,"bipolar, diagnosed, autism, autistic, anxiety, feel, feel like, being, bpd, get"
1,5018,Mental Health Struggles and Support,"ocd, anxiety, medication, meds, thoughts, myself, life, feel, taking, your"
2,12498,Struggling with Mental Health and Isolation,"feel like, life, feel, my life, friends, go, your, hate, myself, be"
3,1738,Eating Disorder Recovery and Support,"eating disorder, eating, eat, fat, weight, to eat, calories, food, lose, disorder"
4,1773,Living with ADHD Challenges and Struggles,"have adhd, adhd and, adhd, with adhd, diagnosed, self, being, feel like, am, feel"
5,3285,Mental Health Support and Recovery,"relationship, love, she was, together, go, what, am, her, time, feel"
6,2158,Overcoming Social Anxiety in Adulthood,"social anxiety, anxiety, talking, talk, social, anxious, being, myself, friends, am"
7,526,Struggles with Personal Hygiene and OCD,"contamination ocd, hygiene, brushing, showering, ocd, wash, shower, laundry, cleaning, wash my"
8,551,Overcoming Sleep Schedule and Morning Struggles,"waking up, sleep, insomnia, fall asleep, waking, sleeping, wake up, asleep, to bed, to sleep"
9,265,Mental Health and Music Triggers,"listen to, music, listening to, headphones, listening, to music, ears, songs, noise, listen"
10,241,Anxiety and Media Consumption Habits,"watching, watch, shows, movies, to watch, hobbies, hobby, interests, toys, interest"
11,247,Struggling with Unresolved Guilt and Shame,"forgive myself, guilt, forgive, the guilt, lying, lie, to forgive, apologize, guilty, yourself"
12,209,Mental Health Struggles on Special Days,"birthday today, my birthday, happy birthday, birthday, celebrate, birthday body, holidays, new year, day, year another"
13,147,Mental Health and Self-Harm Discussions,"self harm, cut myself, harm body, scars, self, cutting, harm, cut my, cut, cuts"
14,108,Mental Health and Dental Anxiety,"dental, dentist, tooth, the dentist, anxiety, my teeth, teeth, wisdom teeth, scared, cavities"
15,110,Tattoos and Mental Health Struggles,"tattoos body, tattoo, tattoos, the tattoo, art body, depression, painting, paint, art, feel"
16,96,Hydration and ADHD Symptoms,"caffeine, energy drinks, to caffeine, drink water, coffee, coffee and, adhd, drink, drinks, drinking"
17,58,Mental Health Struggles of Young Adults,"social anxiety, dating, attract, taller, am, tall, get, be, first date, girl"
18,45,Managing Election-Related Mental Health,"political anxiety, election, the election, politics, political, anxiety, stress, impending doom, scared, vote"
19,33,Autistic Coping Mechanisms and Stimming Habits,"posture, stimming body, posture is, your posture, pain stim, sitting, sit, stimming, my stims, to sit"
20,13,Nostalgia and Mental Health Connections,"feel nostalgia, feel nostalgic, nostalgia as, nostalgia can, nostalgia, nostalgia kills, of nostalgia, nostalgic, title nostalgia, nostalgia from"
21,20,Jobs for People with Social Anxiety,"social anxiety, anxiety body, anxiety, best jobs, what jobs, severe social, anxiety and, any jobs, jobs, social"
22,21,Finding Support Groups Online,"support groups, support group, online support, peer support, meetings for, meetings, support, meeting, safe supportive, groups with"
23,20,Hair Loss and Mental Health,"hair loss, hair pulling, scalp hair, hair growth, hair out, hairdresser, hair being, hair body, the hairdresser, hair"
