Topic,Post_Count,Mean_Emotion_Prob,Std_Emotion_Prob,Top_Emotion_1,Top_Emotion_1_Prob,Top_Emotion_2,Top_Emotion_2_Prob,Top_Emotion_3,Top_Emotion_3_Prob
Mental Health Struggles and Suicidal Thoughts,15981,0.20793243546024853,0.0784762005401417,nervousness,0.4548720936924473,sadness,0.33999998421839683,fear,0.3341449267286278
Substance Abuse Recovery,2559,0.20471732315445487,0.06782576178442562,nervousness,0.41561649863134037,sadness,0.32091508166369676,disappointment,0.29352402679550604
Mental Health Stigma and Misconceptions,2133,0.1830450362323002,0.052427332895323385,nervousness,0.31190268531214255,confusion,0.2589417119229255,disappointment,0.2576360245828879
Disordered Eating and Eating Disorders,1461,0.20430314148295933,0.07721570669504278,nervousness,0.4451951462566051,fear,0.32918186280746065,sadness,0.31682091725386724
Challenging ADHD Diagnoses and Stigma,1452,0.1954299848453906,0.06472934103802382,nervousness,0.3880070247586777,sadness,0.29637182425902203,disappointment,0.29381048451411845
Sleep Disturbances and Anxiety,818,0.2113931016457475,0.0846501256090795,nervousness,0.4997792188856969,fear,0.3584551051782396,sadness,0.3419151249760391
Mobile Phone Addiction,674,0.20276631297499464,0.06826202796352772,nervousness,0.40910413923234423,sadness,0.30422277402655784,disappointment,0.30305827488649856
Mental Health and Oral Hygiene,647,0.2028118828551336,0.07169440844994365,nervousness,0.4174957449520866,fear,0.3101902533400309,sadness,0.3067846786944359
Mental Health Wins,353,0.2020689911422602,0.04842353769874978,nervousness,0.3228664092135977,pride,0.26538103225694054,relief,0.2643569499764873
Non-stigmatizing mental health support posts,815,0.20922690168702454,0.05880002826180196,nervousness,0.36300054071791416,sadness,0.3394493043430675,disappointment,0.29082318072638036
Special Interests and Hobbies,413,0.1870904933696645,0.040610478630217446,nervousness,0.30891717717845035,sadness,0.233284938637046,disappointment,0.23244172746029057
Managing Anger and Emotional Regulation,426,0.2161166450873659,0.09030459916583385,nervousness,0.45889758619460097,sadness,0.38071518064460097,fear,0.3318490997086855
Mental Health and Music,248,0.18777658678002598,0.0491952081162418,nervousness,0.33231960826048385,sadness,0.26683302836612904,disappointment,0.2480678558342742
Overcoming Social Anxiety and Communication Challenges,1099,0.2070825666115202,0.08027799512697502,nervousness,0.456596167611374,embarrassment,0.3379807476501365,fear,0.3131077848133758
Social Anxiety in Public Spaces,602,0.21208053013359635,0.07889255873816858,nervousness,0.44128004981461794,embarrassment,0.3579316368423588,sadness,0.3267428139578073
Mental Health Support Needed,407,0.19770836321803267,0.062043412909184165,nervousness,0.37499921507100736,sadness,0.3118647045140049,disappointment,0.2859643784847666
Mental Health and Art Expression,569,0.2001596337929952,0.06435026873963229,nervousness,0.40357037066783835,sadness,0.313398686375044,disappointment,0.28731548931687173
Mental Health and Productivity Tools,453,0.189779815703871,0.05016695338204948,nervousness,0.3347699230028698,disappointment,0.25290289307615893,realization,0.24895789324966888
Impulse Spending and Financial Management,429,0.20924132041319518,0.07726472151199885,nervousness,0.4401226384081585,sadness,0.3460013767769231,disappointment,0.32444377864941726
